Average across indicators in percent,,,,,,,,,,,,,,,,,,
Data Point,Data for at least two years since 2015,,,,,,,,,,,,,,,,,
Nature,All,,,,,,,,,,,,,,,,,
Analysis Type,Compare countries across all goals,,,,,,,,,,,,,,,,,
Visualization Type,Country-goal matrix,,,,,,,,,,,,,,,,,
Country,World (total) by SDG regions,,,,,,,,,,,,,,,,,
Legend,NA - Not Applicable,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
GeoAreaCode,GeoAreaName,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
4,Afghanistan,32.7891156462585 %,55.53571428571429 %,67.05128205128203 %,33.38095238095238 %,6.944444444444445 %,67.11309523809523 %,100 %,52.083333333333336 %,50 %,30.833333333333336 %,24.960317460317462 %,30.909090909090907 %,16.555555555555554 %,0 %,66.42857142857143 %,21.180555555555554 %,73.08641975308642 %
248,Åland Islands,0 %,4.166666666666666 %,0 %,0 %,0 %,6.802721088435374 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,16.38888888888889 %,0 %,5.833333333333333 %
8,Albania,56.547619047619044 %,51.36904761904761 %,63.14102564102563 %,68.51851851851852 %,25 %,68.36734693877553 %,100 %,51.041666666666664 %,66.07142857142857 %,52.31481481481482 %,35.18518518518518 %,44.772727272727266 %,21.66666666666667 %,44.117647058823536 %,45.714285714285715 %,18.58585858585859 %,66.28472222222221 %
12,Algeria,23.112244897959183 %,52.61904761904762 %,62.82051282051282 %,40.57142857142857 %,4.166666666666666 %,70.23809523809523 %,100 %,51.041666666666664 %,48.4375 %,39.40476190476191 %,32.20899470899471 %,40.909090909090914 %,16.666666666666668 %,14.705882352941178 %,59.04761904761905 %,24.166666666666668 %,65.49382716049382 %
16,American Samoa,7.142857142857142 %,0 %,5.384615384615384 %,0 %,0 %,29.01785714285714 %,40 %,2.7777777777777777 %,4.166666666666666 %,10 %,5.555555555555555 %,16.666666666666664 %,0 %,11.176470588235295 %,34.58333333333333 %,2.7777777777777777 %,10.925925925925926 %
20,Andorra,14.285714285714285 %,8.333333333333332 %,44.230769230769226 %,29.259259259259256 %,5.555555555555555 %,46.08843537414966 %,80 %,12.5 %,21.428571428571427 %,13.88888888888889 %,11.11111111111111 %,36.59090909090909 %,5 %,0 %,39.345238095238095 %,11.616161616161614 %,29.027777777777775 %
24,Angola,31.717687074829932 %,52.202380952380956 %,51.28205128205128 %,26.333333333333332 %,9.722222222222223 %,59.970238095238095 %,100 %,56.25 %,67.1875 %,49.58333333333334 %,29.497354497354493 %,29.090909090909093 %,21.66666666666667 %,54.117647058823536 %,50.71428571428571 %,23.88888888888889 %,70.77160493827161 %
660,Anguilla,16.90476190476191 %,5.416666666666667 %,13.076923076923078 %,10 %,0 %,11.309523809523808 %,50 %,12.5 %,14.583333333333332 %,22.5 %,11.11111111111111 %,22.727272727272727 %,0 %,21.176470588235293 %,25 %,6.944444444444444 %,29.537037037037035 %
28,Antigua and Barbuda,18.316326530612244 %,35.535714285714285 %,56.282051282051285 %,29.238095238095234 %,5.555555555555555 %,44.64285714285714 %,100 %,33.33333333333333 %,35.9375 %,35.833333333333336 %,13.80952380952381 %,33.40909090909091 %,6.999999999999999 %,44.70588235294118 %,47.67857142857143 %,23.611111111111114 %,51.97530864197532 %
32,Argentina,60.40816326530612 %,58.03571428571429 %,71.53846153846153 %,45.285714285714285 %,29.166666666666668 %,62.946428571428584 %,100 %,71.875 %,76.5625 %,52.08333333333333 %,26.53439153439153 %,55.68181818181818 %,15.22222222222222 %,74.70588235294117 %,74.04761904761905 %,25.833333333333336 %,72.1604938271605 %
51,Armenia,63.92857142857142 %,50.32738095238095 %,67.6923076923077 %,58.80952380952381 %,36.11111111111111 %,70.23809523809523 %,100 %,75 %,71.875 %,53.333333333333336 %,30.555555555555557 %,42.5 %,21.66666666666667 %,12.5 %,53.92857142857142 %,23.564814814814817 %,79.29012345679011 %
